_KEY,pattern_hash,pattern,pattern_parts,part_0,pattern_terminator,timestamp_format
$ifXGk6Kc6CS,$ifXGk6Kc6CS,SLF4J: Class path contains multiple SLF4J bindings.,,,SLF4J: Class path contains multiple SLF4J bindings.,
kGeu7kVZHuz,kGeu7kVZHuz,SLF4J: Found binding in [jar:file://opt//hdfs//nodemanager//$//$//$//$//spark-$-1.$.$-$.$.$.$//org//slf4j//impl//$.class],/@@/@@/@@/spark-@@-1.@@.@@-@@.@@.@@.@@/org/slf4j/impl/,SLF4J: Found binding in [jar:file:/opt/hdfs/nodemanager/,.class],
esszmA8cXJL,esszmA8cXJL,SLF4J: Found binding in [jar:file://$//local//hadoop//share//hadoop//common//lib//slf4j-$-1.$.$.$//org//slf4j//impl//$.class],/local/hadoop/share/hadoop/common/lib/slf4j-@@-1.@@.@@.@@/org/slf4j/impl/,SLF4J: Found binding in [jar:file:/,.class],
dmwlbqMGyGL,dmwlbqMGyGL,SLF4J: See http:////www.slf4j.org//codes.$_bindings for an $.,_bindings for an ,SLF4J: See http://www.slf4j.org/codes.,.,
$bcj4ljY0Wn,$bcj4ljY0Wn,SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory],,,SLF4J: Actual binding is of type [org.slf4j.impl.Log4jLoggerFactory],
$fFJhP4JTg5b,$fFJhP4JTg5b,"$(yy/MM/dd HH:mm:ss) INFO executor.CoarseGrainedExecutorBackend: Registered signal handlers for [TERM, HUP, INT]",,,"__TENX_TS__ INFO executor.CoarseGrainedExecutorBackend: Registered signal handlers for [TERM, HUP, INT]",%y/%m/%d %H:%M:%S
$iBuQSrkEh19,$iBuQSrkEh19,"$(yy/MM/dd HH:mm:ss) INFO spark.SecurityManager: Changing view acls to: yarn,$","__TENX_TS__ INFO spark.SecurityManager: Changing view acls to: yarn,",,,%y/%m/%d %H:%M:%S
k5wX1olgEKh,k5wX1olgEKh,"$(yy/MM/dd HH:mm:ss) INFO spark.SecurityManager: Changing modify acls to: yarn,$","__TENX_TS__ INFO spark.SecurityManager: Changing modify acls to: yarn,",,,%y/%m/%d %H:%M:%S
$cThYqriy514,$cThYqriy514,"$(yy/MM/dd HH:mm:ss) INFO spark.SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, $); users with modify permissions: Set(yarn, $)","__TENX_TS__ INFO spark.SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, @@); users with modify permissions: Set(yarn, ",,),%y/%m/%d %H:%M:%S
$bRatdNfpul,$bRatdNfpul,$(yy/MM/dd HH:mm:ss) INFO slf4j.$: $ started,__TENX_TS__ INFO slf4j.@@: ,, started,%y/%m/%d %H:%M:%S
$dkJQ8EWGUrN,$dkJQ8EWGUrN,$(yy/MM/dd HH:mm:ss) INFO $: Starting $,__TENX_TS__ INFO @@: Starting ,,,%y/%m/%d %H:%M:%S
$jmou1Sla0K8,$jmou1Sla0K8,$(yy/MM/dd HH:mm:ss) INFO $: $ started; listening on addresses :[akka.$:////$-$$:$],__TENX_TS__ INFO @@: @@ started; listening on addresses :[akka.@@://@@-@@@@:,,],%y/%m/%d %H:%M:%S
ceEP7PkpO8X,ceEP7PkpO8X,$(yy/MM/dd HH:mm:ss) INFO util.Utils: Successfully started service 'driverPropsFetcher' on port $.,__TENX_TS__ INFO util.Utils: Successfully started service 'driverPropsFetcher' on port ,,.,%y/%m/%d %H:%M:%S
dUFG7PSDJc1,dUFG7PSDJc1,$(yy/MM/dd HH:mm:ss) INFO remote.$/$$: Shutting down remote daemon.,__TENX_TS__ INFO remote.@@$,,: Shutting down remote daemon.,%y/%m/%d %H:%M:%S
jqNeEAd6HVU,jqNeEAd6HVU,$(yy/MM/dd HH:mm:ss) INFO remote.$/$$: Remote daemon shut down; $ with $ remote $.,__TENX_TS__ INFO remote.@@$@@: Remote daemon shut down; @@ with @@ remote ,,.,%y/%m/%d %H:%M:%S
gto1Ohu9b9e,gto1Ohu9b9e,$(yy/MM/dd HH:mm:ss) INFO remote.$/$$: $ shut down.,__TENX_TS__ INFO remote.@@$@@: ,, shut down.,%y/%m/%d %H:%M:%S
dI24eriDpKr,dI24eriDpKr,$(yy/MM/dd HH:mm:ss) INFO util.Utils: Successfully started service 'sparkExecutor' on port $.,__TENX_TS__ INFO util.Utils: Successfully started service 'sparkExecutor' on port ,,.,%y/%m/%d %H:%M:%S
